datetime,time,value,type
2025-04-21 15:55:00,15:55:00,5.8,1
2025-04-21 15:55:00,15:55:00,5.8,1
2025-04-21 15:56:00,15:56:00,5.9,1
2025-04-21 16:01:00,16:01:00,5.9,0
2025-04-21 16:07:00,16:07:00,5.7,1
2025-04-21 16:08:00,16:08:00,5.8,1
2025-04-21 16:12:00,16:12:00,5.8,1
2025-04-21 16:13:00,16:13:00,5.7,1
2025-04-21 16:13:00,16:13:00,5.7,1
2025-04-21 16:16:00,16:16:00,5.6,0
2025-04-21 16:24:00,16:24:00,4.3,1
2025-04-21 16:25:00,16:25:00,4.3,1
2025-04-21 16:26:00,16:26:00,4.4,1
2025-04-21 16:27:00,16:27:00,4.6,1
2025-04-21 16:28:00,16:28:00,4.9,1
2025-04-21 16:29:00,16:29:00,5.1,1
2025-04-21 16:30:00,16:30:00,5.1,1
2025-04-21 16:31:00,16:31:00,5.2,1
2025-04-21 16:31:00,16:31:00,5.1,0
2025-04-21 16:32:00,16:32:00,5.2,1
2025-04-21 16:32:00,16:32:00,5.2,1
2025-04-21 16:33:00,16:33:00,5.1,1
2025-04-21 16:34:00,16:34:00,5.1,1
2025-04-21 16:35:00,16:35:00,5.1,1
2025-04-21 16:36:00,16:36:00,5.1,1
2025-04-21 16:37:00,16:37:00,5.1,1
2025-04-21 16:38:00,16:38:00,5.2,1
2025-04-21 16:39:00,16:39:00,5.4,1
2025-04-21 16:40:00,16:40:00,5.5,1
2025-04-21 16:41:00,16:41:00,5.7,1
2025-04-21 16:42:00,16:42:00,5.8,1
2025-04-21 16:43:00,16:43:00,5.8,1
2025-04-21 16:44:00,16:44:00,5.8,1
2025-04-21 16:45:00,16:45:00,5.7,1
2025-04-21 16:46:00,16:46:00,5.7,1
2025-04-21 16:46:00,16:46:00,6.2,0
2025-04-21 16:47:00,16:47:00,5.8,1
2025-04-21 16:48:00,16:48:00,6.3,1
2025-04-21 16:49:00,16:49:00,6.6,1
2025-04-21 16:50:00,16:50:00,6.8,1
2025-04-21 16:51:00,16:51:00,7.1,1
2025-04-21 16:52:00,16:52:00,7.2,1
2025-04-21 16:53:00,16:53:00,7.4,1
2025-04-21 16:54:00,16:54:00,7.6,1
2025-04-21 16:55:00,16:55:00,7.7,1
2025-04-21 16:56:00,16:56:00,7.7,1
2025-04-21 16:57:00,16:57:00,7.6,1
2025-04-21 16:58:00,16:58:00,7.4,1
2025-04-21 16:59:00,16:59:00,7.3,1
2025-04-21 17:00:00,17:00:00,7.2,1
2025-04-21 17:01:00,17:01:00,7.2,0
2025-04-21 17:01:00,17:01:00,7.3,1
2025-04-21 17:02:00,17:02:00,7.2,1
2025-04-21 17:03:00,17:03:00,7.2,1
2025-04-21 17:04:00,17:04:00,7.1,1
2025-04-21 17:05:00,17:05:00,7.1,1
2025-04-21 17:06:00,17:06:00,7.1,1
2025-04-21 17:07:00,17:07:00,7.2,1
2025-04-21 17:08:00,17:08:00,7.3,1
2025-04-21 17:09:00,17:09:00,7.4,1
2025-04-21 17:10:00,17:10:00,7.6,1
2025-04-21 17:11:00,17:11:00,7.7,1
2025-04-21 17:12:00,17:12:00,7.9,1
2025-04-21 17:13:00,17:13:00,8.2,1
2025-04-21 17:14:00,17:14:00,8.4,1
2025-04-21 17:15:00,17:15:00,8.6,1
2025-04-21 17:16:00,17:16:00,8.8,1
2025-04-21 17:16:00,17:16:00,8.4,0
2025-04-21 17:17:00,17:17:00,8.8,1
2025-04-21 17:18:00,17:18:00,9.0,1
2025-04-21 17:21:00,17:21:00,8.9,1
2025-04-21 17:22:00,17:22:00,8.9,1
2025-04-21 17:30:00,17:30:00,7.8,1
2025-04-21 17:31:00,17:31:00,7.8,1
2025-04-21 17:31:00,17:31:00,7.9,1
2025-04-21 17:32:00,17:32:00,8.4,0
2025-04-21 17:42:00,17:42:00,9.4,1
2025-04-21 17:43:00,17:43:00,9.4,1
2025-04-21 17:47:00,17:47:00,8.6,0
2025-04-21 17:49:00,17:49:00,8.8,1
2025-04-21 17:50:00,17:50:00,8.8,1
2025-04-21 17:51:00,17:51:00,8.9,1
2025-04-21 17:52:00,17:52:00,8.9,1
2025-04-21 17:53:00,17:53:00,8.9,1
2025-04-21 17:54:00,17:54:00,8.8,1
